year,topic_0_words
1952,"[('transport', 0.0054412093), ('offices', 0.0028732803), ('satish', 0.0028476275), ('sum', 0.002700153), ('aviation', 0.002679593), ('post', 0.002602655)]"
1952,"[('defence', 0.0074387756), ('air', 0.0049985377), ('forces', 0.004278507), ('tea', 0.0038746812), ('detention', 0.0024497795), ('auxiliary', 0.002287063)]"
1952,"[('kashmir', 0.0056273774), ('forces', 0.0037528707), ('air', 0.0035059098), ('defence', 0.0034946161), ('pakistan', 0.0026186944), ('constitution', 0.0025346675), ('commerce', 0.0024488196), ('krishnamachari', 0.002273959)]"
1952,"[('scheduled', 0.003702806), ('tribal', 0.0031496978), ('castes', 0.0029965232), ('services', 0.0019705372), ('detention', 0.0019143462), ('sum', 0.0017622436)]"
1952,"[('tax', 0.005746591), ('essential', 0.003912883), ('uniformity', 0.0029470164), ('constitution', 0.0025066154)]"
1952,"[('passengers', 0.0026758197), ('regrouping', 0.0023757047), ('administration', 0.0022021695), ('class', 0.0021121367), ('place', 0.0018866234), ('wheat', 0.0016608965)]"
1952,"[('kashmir', 0.007192395), ('commerce', 0.002780613), ('hyderabad', 0.0025362377), ('jammu', 0.0022261457), ('constitution', 0.0020340057)]"
1952,"[('regrouping', 0.0030548272), ('labour', 0.0020774326), ('class', 0.001894838), ('place', 0.0018336321), ('commerce', 0.0017936691)]"
1952,"[('radio', 0.0038058662), ('broadcasting', 0.0030985128), ('karmarkar', 0.0020886168), ('shastri', 0.0019381862), ('service', 0.0018925428), ('film', 0.0018352601)]"
1952,"[('protection', 0.0072923284), ('industries', 0.0057474105), ('tariff', 0.0048008123), ('karmarkar', 0.0035985508), ('imported', 0.0024091532), ('commerce', 0.002311665), ('raw', 0.0022717144)]"
1952,"[('foodgrains', 0.0031580997), ('grow', 0.0018705636)]"
1952,"[('essential', 0.0053081247), ('tax', 0.003931236), ('schedule', 0.0033366287), ('notaries', 0.0029859773), ('notary', 0.002105569), ('tyagi', 0.0020712262)]"
1952,"[('calcutta', 0.004176077), ('gopalaswami', 0.0038996679), ('advisory', 0.0029083411), ('regrouping', 0.0025911662), ('council', 0.002169829), ('class', 0.0021075392)]"
1952,"[('silk', 0.008355112), ('inquiry', 0.0034319316), ('commerce', 0.0025093684)]"
1952,"[('scheduled', 0.0023864936), ('tea', 0.0023862084), ('countries', 0.0021063725), ('commerce', 0.0020262871), ('prices', 0.0016945978)]"
1952,"[('irrigation', 0.0019291408), ('tea', 0.001365946), ('nanda', 0.0013536417)]"
1952,"[('transport', 0.0030022077), ('chandra', 0.0026895385), ('shastri', 0.0021973392), ('wakfs', 0.002061516), ('opinion', 0.0019551245)]"
1952,"[('salaries', 0.004211621), ('salary', 0.004209153), ('allowance', 0.0028526124), ('paid', 0.0027894827), ('pay', 0.002535866), ('gopalaswami', 0.0022457447)]"
1952,"[('loans', 0.0041691363), ('loan', 0.0029416706), ('parliament', 0.002646937), ('industries', 0.002360739), ('names', 0.0022576286), ('capital', 0.0021937215)]"
1952,"[('world', 0.002978455), ('loans', 0.0026687533), ('cotton', 0.0017236758), ('capital', 0.0017126519), ('tubewells', 0.0016713031), ('help', 0.0015848392)]"
1952,"[('loans', 0.0033415386), ('director', 0.0032709325), ('loan', 0.0028247472)]"
1952,"[('coconut', 0.0033434306), ('commerce', 0.0022245222), ('duty', 0.0020682714), ('countries', 0.002055947), ('displaced', 0.0018389908), ('property', 0.001800126), ('pakistan', 0.0017207643)]"
1952,"[('pakistan', 0.011510218), ('passport', 0.005051793), ('east', 0.0038058502), ('control', 0.0018400698), ('export', 0.0016687931), ('jute', 0.0016035725)]"
1952,"[('duty', 0.009714383), ('property', 0.004562536), ('estate', 0.0042556436), ('agricultural', 0.003260466), ('taxation', 0.003145265), ('labour', 0.001784729), ('tax', 0.0016377978), ('measure', 0.001567296)]"
1952,"[('pakistan', 0.0025201428)]"
1952,"[('duty', 0.007105875), ('property', 0.005078653), ('estate', 0.003955181), ('measure', 0.0034091051), ('hindu', 0.0027050849), ('tax', 0.002427424), ('man', 0.0022520083), ('social', 0.0022290666)]"
1952,"[('steel', 0.0067573073), ('companies', 0.004079313), ('loan', 0.0031721615), ('iron', 0.0025484276), ('tariff', 0.0013613906)]"
1952,"[('steel', 0.00589519), ('commerce', 0.0053720004), ('company', 0.003676696), ('position', 0.0025871515), ('iron', 0.002428626), ('companies', 0.002420111)]"
1952,"[('duty', 0.0055130804), ('property', 0.003850397), ('estate', 0.0030030822), ('capital', 0.0021231484), ('pakistan', 0.0018754461), ('pay', 0.0018125933), ('prices', 0.0015492183), ('countries', 0.0014424705)]"
1952,"[('scheduled', 0.008427762), ('constituency', 0.0047165207), ('castes', 0.0035266718), ('constituencies', 0.0032564062), ('delimitation', 0.002962376), ('tea', 0.0027879504), ('reserved', 0.0026809087), ('alagesan', 0.0026057612)]"
1952,"[('population', 0.005103595), ('half', 0.004708866), ('constitution', 0.0046535456), ('constituencies', 0.004343214), ('subclause', 0.0039501265), ('limit', 0.0039061988)]"
1952,"[('consent', 0.004825379), ('girls', 0.0038495043), ('girl', 0.0032954053), ('man', 0.002543727), ('opinions', 0.0025032028), ('malaviya', 0.0024136836)]"
1952,"[('patents', 0.0041029328), ('coorg', 0.0033324948), ('constituencies', 0.0025530166), ('mysore', 0.002313713), ('ceylon', 0.0021355331)]"
1952,"[('supplementary', 0.0052110804), ('sum', 0.004704639), ('grant', 0.0035900867), ('police', 0.0031402109), ('commerce', 0.0030268205)]"
1952,"[('tariff', 0.0062800655), ('industries', 0.005869811), ('protection', 0.004743341), ('pakistan', 0.002616438), ('commerce', 0.0025617126), ('aluminium', 0.002361691), ('duty', 0.002330639), ('export', 0.0019424988)]"
1952,"[('scheduled', 0.024846405), ('castes', 0.012239101), ('tribes', 0.005920148), ('classes', 0.0040155877), ('services', 0.0027354716), ('backward', 0.002629732), ('constitution', 0.0022631472)]"
1952,"[('protection', 0.0053423056), ('industries', 0.005137359), ('tariff', 0.0037641118), ('preference', 0.0020598588), ('interests', 0.0018856479), ('indigenous', 0.0018795879), ('capital', 0.0016039208), ('long', 0.0015825027)]"
1952,"[('pakistan', 0.017090954), ('east', 0.0068986444), ('problem', 0.0031141643), ('rehabilitation', 0.0028150012), ('partition', 0.0025349015), ('economic', 0.002432518), ('hindus', 0.0022723982), ('coming', 0.0021461186)]"
1952,"[('planning', 0.002763317), ('gee', 0.0022618813), ('idia', 0.0021034474), ('aea', 0.0020512575)]"
1952,"[('planning', 0.003435316), ('resources', 0.0017217327), ('economic', 0.0016010891), ('different', 0.001349775)]"
1952,"[('prices', 0.008741935), ('control', 0.004971006), ('controls', 0.003315001), ('foodgrains', 0.0024801423), ('position', 0.0024432556), ('procurement', 0.0024216922), ('defence', 0.002194928)]"
1952,"[('planning', 0.0060047987), ('irrigation', 0.003275279), ('pakistan', 0.002564009), ('nehru', 0.0020983915), ('commerce', 0.001883072)]"
1952,"[('prices', 0.003170042), ('control', 0.0026865115), ('controls', 0.002159825), ('procurement', 0.0021358915), ('pakistan', 0.00164236), ('madras', 0.0015564094)]"
1952,"[('planning', 0.0024818364), ('transport', 0.0017717786), ('labour', 0.0013069442)]"
1952,"[('sugar', 0.013984006), ('prices', 0.0058523603), ('cane', 0.0046691615), ('sugarcane', 0.003997428), ('cultivator', 0.002681513), ('maund', 0.0025728657), ('duty', 0.0023704641), ('export', 0.0022859676), ('factory', 0.002173856)]"
1952,"[('scheduled', 0.0047290465), ('famine', 0.004334232), ('castes', 0.0030476907), ('constituency', 0.0028703408), ('population', 0.002747199), ('conditions', 0.002532706), ('jute', 0.0025294716)]"
1952,"[('contracts', 0.0064202235), ('sugar', 0.0038071314), ('delivery', 0.0037690483), ('bombay', 0.0033731032), ('specific', 0.0026473294), ('associations', 0.0024799139)]"
1952,"[('tea', 0.007729269), ('pakistan', 0.005774033), ('abducted', 0.0026299832), ('rubber', 0.0019782165), ('recovery', 0.0018861843)]"
1952,"[('contracts', 0.009968696), ('delivery', 0.0051640677), ('contract', 0.005110404), ('nontransferable', 0.003668923), ('specific', 0.0035741508), ('association', 0.0035153187), ('bombay', 0.0033773368)]"
1952,"[('contracts', 0.009299184), ('association', 0.0051682857), ('specific', 0.0038677228), ('delivery', 0.003613112), ('nontransferable', 0.0029864605), ('bombay', 0.0029106343)]"
1952,"[('loans', 0.003762484), ('provision', 0.0023164963), ('alcohol', 0.0022680708)]"
1952,"[('adulteration', 0.0037094627), ('commerce', 0.0024642458), ('tea', 0.0020571146), ('krishnamachari', 0.002026067)]"
1952,"[('east', 0.0020194016), ('deshmukh', 0.0020154451), ('pakistan', 0.0016333424), ('property', 0.0015692734), ('alagesan', 0.001487028), ('post', 0.0013769338), ('adulteration', 0.0013707002), ('transport', 0.0013499734)]"
1952,"[('corruption', 0.0042199786), ('resolution', 0.003550879), ('service', 0.0032394794), ('officers', 0.0028711562), ('servants', 0.0024766691), ('scientific', 0.002296294), ('property', 0.0022733826)]"
1953,"[('housing', 0.0055680824), ('houses', 0.0038839583), ('works', 0.0028893275), ('jute', 0.002851842), ('problem', 0.0026246116), ('prices', 0.0022995877)]"
1953,"[('pepsu', 0.0054248217), ('raj', 0.002858058), ('bahadur', 0.002599226), ('council', 0.002073816)]"
1953,"[('scientific', 0.0024697846)]"
1953,"[('industries', 0.0044662245), ('trade', 0.0033195496), ('commerce', 0.0027173248), ('import', 0.0027172912), ('jute', 0.0024654204)]"
1953,"[('sum', 0.011730791), ('charges', 0.0065001883), ('punjab', 0.006364853), ('patiala', 0.0054061385), ('pepsu', 0.005005912)]"
1953,"[('sum', 0.008711625), ('charges', 0.0071508167)]"
1953,"[('industries', 0.004200215), ('protection', 0.0034928096), ('tariff', 0.0024840485), ('parliament', 0.0022788793), ('transport', 0.0022118792), ('das', 0.0019304937)]"
1953,"[('handloom', 0.005599491), ('khadi', 0.0034228312), ('industries', 0.002541443), ('jute', 0.002506473), ('problem', 0.002377814), ('export', 0.0023126255)]"
1953,"[('industries', 0.0043951194), ('control', 0.0040636), ('interests', 0.003227282), ('management', 0.0029950773), ('sugar', 0.0023605255), ('capital', 0.0022352347)]"
1953,"[('expenditure', 0.002076149), ('deficit', 0.0019585642)]"
1953,"[('tea', 0.0076113003), ('industries', 0.004068052), ('managing', 0.0034870366), ('control', 0.0029731796), ('management', 0.002381864), ('commerce', 0.0023289288), ('interests', 0.0022962508)]"
1953,"[('stalin', 0.012520329), ('peace', 0.011349684), ('world', 0.009657847), ('perhaps', 0.00801336), ('history', 0.007578943), ('hope', 0.007553141), ('numbers', 0.007263293)]"
1953,"[('sum', 0.002316085), ('export', 0.0020189916)]"
1953,"[('corporations', 0.004882174), ('air', 0.004686911), ('compensation', 0.0029230523), ('companies', 0.0023572007), ('labour', 0.0023431822), ('company', 0.002011398), ('shareholders', 0.0019666897), ('transport', 0.0019606054), ('ram', 0.0017842388)]"
1953,"[('sum', 0.0058225594), ('payment', 0.00351012), ('defray', 0.0032017294)]"
1953,"[('corporations', 0.008249), ('air', 0.0068734847), ('trade', 0.004115685), ('companies', 0.0032827319), ('services', 0.002625207), ('compensation', 0.0025418694), ('international', 0.002390141), ('china', 0.0023739159), ('nationalisation', 0.0022399572)]"
1953,"[('handloom', 0.0071956445), ('commonwealth', 0.0037091344), ('appropriation', 0.003445548), ('khadi', 0.002915548), ('factory', 0.0026360014), ('weavers', 0.0020536564), ('duty', 0.0017744269), ('industries', 0.0017632813)]"
1953,"[('tea', 0.0070640985), ('air', 0.005452885), ('corporations', 0.004993255), ('labour', 0.0047755786), ('company', 0.0032839875), ('companies', 0.0020016604), ('interests', 0.0018756201)]"
1953,"[('financing', 0.0018443315), ('deficit', 0.0017822841), ('deshmukh', 0.0015800176), ('commerce', 0.0014871068), ('taxation', 0.0014453122), ('industries', 0.0014273128), ('appendix', 0.0014174682)]"
1953,"[('handloom', 0.007154904), ('khadi', 0.0055466304), ('duty', 0.003908865), ('industries', 0.0032442643), ('das', 0.0021470913)]"
1953,"[('tea', 0.011950252), ('parliament', 0.0057753576), ('control', 0.003348186)]"
1953,"[('deficit', 0.003416016), ('expenditure', 0.0029099062), ('financing', 0.0018333946), ('defence', 0.001708535), ('taxation', 0.0016551965)]"
1953,"[('resolution', 0.003906774), ('trade', 0.0033209869), ('corruption', 0.0029802248), ('investigation', 0.0023212184), ('property', 0.002028884), ('rules', 0.0019643707), ('raj', 0.0019387912)]"
1953,"[('narayan', 0.0027377775), ('pandit', 0.002128279), ('ram', 0.0020144724), ('nath', 0.0017576416), ('chandra', 0.0017256717), ('south', 0.0017239575), ('prasad', 0.0016972203)]"
1953,"[('commerce', 0.0023290361), ('expenditure', 0.0017465436), ('jute', 0.0016019449), ('krishnamachari', 0.0014269125), ('cooperation', 0.0012941977)]"
1953,"[('constitution', 0.006844593), ('disqualification', 0.0043733423), ('parliament', 0.0037956943), ('assembly', 0.003062215)]"
1953,"[('congress', 0.00498639), ('pepsu', 0.0044366117), ('united', 0.0017697453), ('majority', 0.0017276111), ('katju', 0.0015782219)]"
1953,"[('constitution', 0.0059841457), ('election', 0.0043566027), ('parliament', 0.0037983647), ('disqualification', 0.002863323), ('vindhya', 0.0024799288), ('assembly', 0.0021985027)]"
1953,"[('labour', 0.002031218), ('pakistan', 0.0019675742), ('war', 0.001943064)]"
1953,"[('wakfs', 0.0030939148), ('opinion', 0.002391346), ('das', 0.0021615257), ('muslim', 0.0020470833)]"
1953,"[('karmarkar', 0.0026260985), ('constitution', 0.0024720666), ('death', 0.0023138965), ('property', 0.0022332477), ('duty', 0.0022228416), ('commerce', 0.0020340434), ('council', 0.0020300362), ('parliament', 0.0018638927)]"
1953,"[('tea', 0.0024468598), ('transport', 0.00181235), ('situation', 0.0017487553)]"
1953,"[('iron', 0.0022104944), ('tax', 0.0020852957), ('labour', 0.0020122135), ('jute', 0.001785146), ('steel', 0.0017639806), ('without', 0.001505788)]"
1953,"[('duty', 0.0043680705), ('estate', 0.0032428973), ('tax', 0.002407429), ('transport', 0.002121625), ('deshmukh', 0.002011516), ('property', 0.0018263905), ('exemption', 0.0016162355), ('raj', 0.001612349), ('death', 0.0016102483)]"
1953,"[('madras', 0.0029815235), ('salt', 0.0027001675), ('duty', 0.0018752408), ('excises', 0.0017595113), ('savings', 0.0017278045), ('karmarkar', 0.0017056538), ('commerce', 0.0015440959), ('possible', 0.0015408341)]"
1953,"[('duty', 0.002891699), ('madras', 0.0023798896), ('estate', 0.00204346), ('service', 0.0020090512), ('deshmukh', 0.001884118), ('conditions', 0.0018245338), ('transport', 0.0017832501), ('buses', 0.0017274471), ('katju', 0.001646382)]"
1953,"[('defence', 0.0031901381), ('resolution', 0.0018511445), ('situation', 0.0017303104), ('jammu', 0.0017099158), ('kashmir', 0.0016549459), ('agitation', 0.0016463744)]"
1953,"[('nations', 0.0041813487), ('world', 0.004053363), ('war', 0.0036486888), ('united', 0.0030800842), ('countries', 0.0029046992), ('peace', 0.002893743), ('external', 0.001996057), ('pakistan', 0.0018872062)]"
1953,"[('deshmukh', 0.0031340653), ('madras', 0.0024601268), ('excises', 0.0019894019), ('transport', 0.001973627), ('expenditure', 0.0016137133), ('workers', 0.0016083524), ('retrenchment', 0.0014351608)]"
1953,"[('kashmir', 0.004557515), ('reddy', 0.0025417886), ('jammu', 0.0024696728), ('pakistan', 0.0017743553), ('commerce', 0.0016911643), ('nehru', 0.0015394255)]"
1953,"[('countries', 0.0028417537), ('world', 0.0027461145), ('pakistan', 0.0026738576), ('commonwealth', 0.0019372323), ('labour', 0.0018904825), ('kidwai', 0.0018760167), ('ceylon', 0.0016930929)]"
1953,"[('rules', 0.006515034), ('resolution', 0.0041073384), ('scheduled', 0.0031610238), ('servants', 0.002753747), ('service', 0.0024490173), ('activities', 0.0023210961), ('security', 0.0021405625)]"
1953,"[('negativedmr', 0.0020782014), ('alagesan', 0.00202435), ('labour', 0.0018183398)]"
1953,"[('kidwai', 0.003262672), ('agricultural', 0.0025732364), ('research', 0.002057787)]"
1953,"[('tea', 0.0040207747), ('religious', 0.0034536694), ('institution', 0.00281594), ('income', 0.0028016835), ('institutions', 0.0024434098), ('deshmukh', 0.0022764609)]"
1953,"[('supplementary', 0.004416107), ('sum', 0.0034252065), ('deshmukh', 0.0029347374), ('expenditure', 0.0026286677)]"
1953,"[('sum', 0.0015626365), ('krishnamachari', 0.0015466283)]"
1953,"[('property', 0.0093104895), ('pakistan', 0.0061201896), ('custodian', 0.0028128957), ('intending', 0.0026098797)]"
1953,"[('labour', 0.008434423), ('workers', 0.0055530486), ('deshmukh', 0.0027387317), ('agricultural', 0.002731429), ('labourers', 0.002317463), ('trade', 0.0022745277), ('wages', 0.002181862)]"
1953,"[('air', 0.007738734), ('corporations', 0.0066936724), ('companies', 0.0039110356), ('transport', 0.0035970232), ('service', 0.002897723), ('services', 0.0025806834), ('nationalisation', 0.0024352325), ('deshmukh', 0.0017601484)]"
1953,"[('refugees', 0.009335886), ('rehabilitation', 0.006434698), ('pakistan', 0.003430218), ('displaced', 0.0031556364), ('loans', 0.0027656017), ('claims', 0.0025734475)]"
1953,"[('corporations', 0.010124552), ('air', 0.009727535), ('companies', 0.0037191582), ('transport', 0.002920648), ('services', 0.0025489582), ('compensation', 0.0024264685), ('value', 0.0020042958)]"
1953,"[('private', 0.0042714486), ('industries', 0.0032910027), ('commerce', 0.002966785), ('powers', 0.0027708567), ('krishnamachari', 0.0020801486), ('measure', 0.0019363756), ('labour', 0.0018216624)]"
1953,"[('staff', 0.0022325278), ('transport', 0.002226997), ('class', 0.0022239834), ('alagesan', 0.001844404)]"
1953,"[('incometax', 0.0055513675), ('income', 0.0026692143), ('justice', 0.0024407343), ('appellate', 0.0019242849), ('business', 0.0018959892)]"
1953,"[('class', 0.0044823536), ('officers', 0.003861214), ('research', 0.0030719822), ('scientific', 0.0023502496), ('traffic', 0.0023070823), ('passenger', 0.0021750475)]"
1953,"[('defence', 0.0112374965), ('army', 0.00445364), ('air', 0.0042769215), ('forces', 0.0031804722), ('services', 0.0025442126), ('aircraft', 0.0022586277), ('expenditure', 0.0020742845)]"
1953,"[('children', 0.0057218135), ('orphanage', 0.0028823367), ('problem', 0.0020904434), ('rajasthan', 0.0018759273), ('child', 0.0018681594), ('orphans', 0.0017876129)]"
1953,"[('commerce', 0.0033666138), ('class', 0.0029180963), ('krishnamachari', 0.0019008114)]"
1953,"[('kashmir', 0.0034621372), ('jammu', 0.0028353238), ('defence', 0.0023554002), ('mookerjee', 0.0021058472), ('situation', 0.002049373), ('magistrate', 0.001841845), ('officers', 0.0017917551)]"
1953,"[('class', 0.003622634), ('staff', 0.0030394727), ('transport', 0.002875558), ('scheduled', 0.0026056939), ('cut', 0.0025338153)]"
