year,topic_0_words,file_name
1952.0,"[('pakistan', 0.003295995), ('commerce', 0.0027595048), ('tax', 0.0026409742), ('sales', 0.0023986532)]",lsd_01_01_08-07-1952
1952.0,"[('air', 0.012468482), ('forces', 0.008327271), ('tea', 0.0057243053), ('auxiliary', 0.005415207), ('reserve', 0.004091774), ('aid', 0.0040728375), ('employer', 0.0034942187), ('called', 0.0034386425)]",lsd_01_01_08-08-1952
1952.0,"[('railway', 0.013641356), ('labour', 0.0033358051), ('commerce', 0.002496222)]",lsd_01_01_09-06-1952
1952.0,"[('incometax', 0.003401484), ('income', 0.0033415598), ('business', 0.002302235), ('authority', 0.0022260584), ('army', 0.0021564998), ('agriculture', 0.0021540006), ('transport', 0.0021074144), ('shastri', 0.0020384097)]",lsd_01_01_09-07-1952
1952.0,"[('army', 0.010218489), ('defence', 0.008525313), ('expenditure', 0.0033890954), ('karmarkar', 0.0024591365), ('air', 0.002099371), ('officers', 0.0020719143), ('services', 0.0018866255)]",lsd_01_01_10-06-1952
1952.0,"[('air', 0.0056983354), ('military', 0.0038948269), ('forces', 0.0037518742), ('police', 0.0034532412)]",lsd_01_01_10-07-1952
1952.0,"[('defence', 0.0057382924), ('foreign', 0.0043488117), ('world', 0.0034764665), ('officers', 0.0028927398), ('army', 0.0028660516), ('forces', 0.0025458913), ('gopalaswami', 0.002373178), ('services', 0.0023011747)]",lsd_01_01_11-06-1952
1952.0,"[('powers', 0.0045561446), ('forces', 0.0034194079), ('commerce', 0.0032433276), ('commissions', 0.0032139623), ('provisions', 0.0031569477), ('inquiry', 0.003060588)]",lsd_01_01_11-07-1952
1952.0,"[('property', 0.005257708), ('price', 0.00512112), ('production', 0.0027558827), ('supplies', 0.0024908308), ('pakistan', 0.0024729823)]",lsd_01_01_11-08-1952
1952.0,"[('foreign', 0.0056625977), ('world', 0.004917624), ('nations', 0.0023124842), ('commerce', 0.0022640047), ('peace', 0.0020997028)]",lsd_01_01_12-06-1952
1952.0,"[('linguistic', 0.008869434), ('provinces', 0.006043534), ('province', 0.004901076), ('madras', 0.004483954), ('mysore', 0.003418772), ('language', 0.003245783), ('resolution', 0.0031921826), ('whole', 0.0031027037)]",lsd_01_01_12-07-1952
1952.0,"[('rules', 0.003956294), ('trading', 0.0032046458), ('regulation', 0.003062454), ('powers', 0.0029132268)]",lsd_01_01_12-08-1952
1952.0,"[('prasad', 0.0064530293), ('west', 0.006400167), ('narayan', 0.0059072752), ('north', 0.0054527856), ('south', 0.0047135926), ('chandra', 0.004651433), ('nath', 0.0042965235), ('east', 0.004236732), ('sinha', 0.0042255404), ('pandit', 0.0036271214)]",lsd_01_01_13-05-1952
1952.0,"[('education', 0.009723726), ('castes', 0.0029193116), ('scheduled', 0.0028726961), ('railway', 0.0023976346), ('university', 0.002073392)]",lsd_01_01_13-06-1952
1952.0,"[('police', 0.0046274713), ('corruption', 0.004326491), ('man', 0.003959348), ('offence', 0.0030842663), ('chandra', 0.0027887786)]",lsd_01_01_14-07-1952
1952.0,"[('election', 0.0054107485), ('parliament', 0.0035778144), ('hope', 0.0030506335), ('opposition', 0.002967925), ('interests', 0.0026545806), ('pandit', 0.0025788592), ('traditions', 0.0025418422)]",lsd_01_01_15-05-1952
1952.0,"[('tea', 0.012471681), ('police', 0.00838937), ('schedule', 0.004175026), ('powers', 0.003661258), ('armed', 0.0034590566)]",lsd_01_01_15-07-1952
1952.0,"[('parliament', 0.003815247), ('motions', 0.0033124147), ('freedom', 0.002548557), ('world', 0.0024627645)]",lsd_01_01_16-05-1952
1952.0,"[('jute', 0.0058993273), ('education', 0.004008105), ('trade', 0.0039313906), ('production', 0.0037944042), ('foreign', 0.0032684535), ('capital', 0.0030419966)]",lsd_01_01_16-06-1952
1952.0,"[('price', 0.0033040226), ('parliament', 0.0032277668), ('export', 0.0029857613), ('tariff', 0.0029108329), ('krishnamachari', 0.002554904), ('commerce', 0.0023749836)]",lsd_01_01_16-07-1952
1952.0,"[('refugees', 0.0044454145), ('commerce', 0.0042683925), ('pakistan', 0.0037660461), ('rehabilitation', 0.0028932458), ('problem', 0.0028554245), ('bengal', 0.0023115617)]",lsd_01_01_17-06-1952
1952.0,"[('foreign', 0.00778737), ('company', 0.0064032003), ('calcutta', 0.0036874395), ('capital', 0.0036236155), ('karmarkar', 0.0034916424), ('company', 0.0032608332), ('bengal', 0.003051092)]",lsd_01_01_17-07-1952
1952.0,"[('pakistan', 0.005486757), ('west', 0.0041430197), ('rehabilitation', 0.0035391166), ('production', 0.0035030947), ('bengal', 0.0032680673), ('refugees', 0.0032349278), ('east', 0.003046207), ('problem', 0.0029652661)]",lsd_01_01_18-06-1952
1952.0,"[('detention', 0.008780963), ('preventive', 0.005586285), ('amendments', 0.003227507), ('parliament', 0.0027760183)]",lsd_01_01_18-07-1952
1952.0,"[('foreign', 0.002389206), ('south', 0.0023850517), ('land', 0.0022599176), ('famine', 0.0021846313), ('amendments', 0.0021552562), ('production', 0.0019534247)]",lsd_01_01_19-05-1952
1952.0,"[('labour', 0.011050426), ('workers', 0.0049892175), ('labourers', 0.0043208), ('trade', 0.003336559), ('wages', 0.0025447)]",lsd_01_01_19-06-1952
1952.0,"[('defence', 0.0040049106), ('price', 0.0026521776), ('army', 0.002516174), ('shastri', 0.0019010839), ('foreign', 0.0018808321), ('without', 0.0018553364)]",lsd_01_01_20-05-1952
1952.0,"[('valley', 0.0055498863), ('irrigation', 0.003157715), ('planning', 0.0027979792), ('karmarkar', 0.0025312474), ('damodar', 0.002194447), ('finance', 0.0020493437)]",lsd_01_01_20-06-1952
1952.0,"[('finance', 0.0026312496), ('famine', 0.0023642385), ('kashmir', 0.0022479175), ('side', 0.0019304886), ('whole', 0.0017219263), ('pakistan', 0.0016434656)]",lsd_01_01_21-05-1952
1952.0,"[('detention', 0.0036173651), ('preventive', 0.003311112), ('court', 0.0030006561), ('commerce', 0.0024587698), ('tea', 0.0024477858), ('bengal', 0.0019459656), ('labour', 0.0017069736)]",lsd_01_01_21-07-1952
1952.0,"[('railway', 0.0022165803), ('war', 0.0021348353), ('might', 0.0020659056), ('foreign', 0.0020335142)]",lsd_01_01_22-05-1952
1952.0,"[('detention', 0.005098279), ('preventive', 0.0027728102), ('police', 0.002375983), ('man', 0.0023089305), ('railway', 0.0022961425), ('shastri', 0.0018206766)]",lsd_01_01_22-07-1952
1952.0,"[('claims', 0.008287634), ('displaced', 0.0051411926), ('kidwai', 0.0039603435), ('pakistan', 0.0038239243), ('refugees', 0.003497835), ('houses', 0.002848752), ('compensation', 0.0023334392), ('property', 0.0021931995)]",lsd_01_01_23-05-1952
1952.0,"[('transport', 0.0045420174), ('posts', 0.002832651), ('telegraphs', 0.0026990292)]",lsd_01_01_23-06-1952
1952.0,"[('defence', 0.0067719817), ('air', 0.006445607), ('tea', 0.0054390472), ('forces', 0.0037379619), ('army', 0.0028878504), ('england', 0.0026325695)]",lsd_01_01_23-07-1952
1952.0,"[('kashmir', 0.0053514102), ('defence', 0.0044162893), ('air', 0.004300511), ('forces', 0.0035444254), ('pakistan', 0.0023884661), ('might', 0.0023028825)]",lsd_01_01_24-07-1952
1952.0,"[('scheduled', 0.0044901855), ('court', 0.0035012392), ('tribal', 0.0026463727), ('police', 0.0025385558), ('castes', 0.0024340996), ('officers', 0.0021856432)]",lsd_01_01_25-06-1952
1952.0,"[('tax', 0.006557243), ('intention', 0.003325827), ('essential', 0.0031147536), ('uniformity', 0.0029565948)]",lsd_01_01_25-07-1952
1952.0,"[('railway', 0.011617953), ('railway', 0.005395733), ('passengers', 0.00307264), ('class', 0.0030292866), ('administration', 0.0016943786), ('wheat', 0.001672286)]",lsd_01_01_26-05-1952
1952.0,"[('kashmir', 0.0066049593), ('jammu', 0.0026408313), ('commerce', 0.0024941745), ('hyderabad', 0.0020935046)]",lsd_01_01_26-06-1952
1952.0,"[('railway', 0.013269042), ('railway', 0.0038428365), ('regrouping', 0.0034211972), ('bengal', 0.002273526), ('labour', 0.0019510956), ('class', 0.0018132982)]",lsd_01_01_27-05-1952
1952.0,"[('radio', 0.004395848), ('broadcasting', 0.0034227525), ('pakistan', 0.0021369464), ('karmarkar', 0.0020853793)]",lsd_01_01_27-06-1952
1952.0,"[('protection', 0.0066444934), ('tariff', 0.0064899917), ('railway', 0.00526899), ('production', 0.0037776802), ('wheat', 0.0023441347), ('shastri', 0.002304889), ('imported', 0.0022899844), ('manufacture', 0.0021264944)]",lsd_01_01_28-05-1952
1952.0,"[('land', 0.003434733), ('foodgrains', 0.0028447225), ('agriculture', 0.00247983), ('grow', 0.0022614659), ('problem', 0.0020329705), ('west', 0.001953306)]",lsd_01_01_28-06-1952
1952.0,"[('tax', 0.0037477247), ('schedule', 0.0036274593), ('essential', 0.0034794707), ('education', 0.0034641942), ('notary', 0.0034525476), ('tyagi', 0.00283064), ('notaries', 0.0026283644)]",lsd_01_01_28-07-1952
1952.0,"[('railway', 0.007945919), ('railway', 0.0036263438), ('gopalaswami', 0.003388228), ('class', 0.002964178), ('regrouping', 0.0027488328), ('advisory', 0.0027234424), ('calcutta', 0.0026817673), ('bengal', 0.0025657231)]",lsd_01_01_29-05-1952
1952.0,"[('silk', 0.0061831577), ('inquiry', 0.002975672), ('commerce', 0.002663092), ('vicechairman', 0.0024486096)]",lsd_01_01_29-07-1952
1952.0,"[('tea', 0.0026166562), ('scheduled', 0.002598622), ('finance', 0.0025249699), ('labour', 0.0024628146), ('production', 0.0024022984)]",lsd_01_01_30-05-1952
1952.0,"[('land', 0.0028882194), ('production', 0.0027242233), ('irrigation', 0.0021068763), ('coal', 0.0021008563)]",lsd_01_01_30-06-1952
1952.0,"[('railway', 0.0036330498), ('shastri', 0.0030443105), ('railway', 0.0029599366), ('chandra', 0.0026419524), ('satish', 0.0024408335), ('transport', 0.0024329687), ('wakfs', 0.0022832798)]",lsd_01_01_30-07-1952
1952.0,"[('salary', 0.005746924), ('salaries', 0.0034357423), ('paid', 0.0026020207), ('pay', 0.0024913193), ('rupees', 0.002472111), ('income', 0.0024563996), ('allowance', 0.0024487842)]",lsd_01_01_31-07-1952
1952.0,"[('finance', 0.0057418845), ('loans', 0.0035056598), ('loan', 0.002713617), ('capital', 0.0022500856), ('parliament', 0.0022435202)]",lsd_01_02_02-12-1952
1952.0,"[('finance', 0.004849237), ('bank', 0.0036257962), ('loans', 0.0026093505), ('world', 0.0019826272), ('help', 0.0017401024)]",lsd_01_02_03-12-1952
1952.0,"[('bank', 0.0046778927), ('finance', 0.004553875), ('loans', 0.003987823), ('director', 0.0037094492)]",lsd_01_02_04-12-1952
1952.0,"[('coconut', 0.003058261), ('foreign', 0.0023923216), ('duty', 0.002308818), ('pakistan', 0.0020554783), ('commerce', 0.0020074057)]",lsd_01_02_05-11-1952
1952.0,"[('pakistan', 0.008510101), ('bengal', 0.0036099365), ('passport', 0.0035186028), ('east', 0.003113527)]",lsd_01_02_05-12-1952
1952.0,"[('duty', 0.0066023674), ('property', 0.0047655688), ('estate', 0.0043886886), ('agriculture', 0.002820672), ('taxation', 0.0023082849), ('labour', 0.0022287883), ('tax', 0.0020278047), ('legislation', 0.0019364766), ('finance', 0.001825661)]",lsd_01_02_06-11-1952
1952.0,"[('pakistan', 0.0038073962), ('railway', 0.0022777265), ('steel', 0.0019712206), ('old', 0.0018989886)]",lsd_01_02_06-12-1952
1952.0,"[('duty', 0.007634038), ('finance', 0.006577154), ('property', 0.0062945834), ('estate', 0.005102249), ('measure', 0.0038113638), ('man', 0.0025791507), ('tax', 0.0023326983), ('hindu', 0.0020359147)]",lsd_01_02_07-11-1952
1952.0,"[('steel', 0.0063075544), ('loan', 0.0037858207), ('company', 0.003374251), ('iron', 0.0028024577), ('bank', 0.0022760588), ('production', 0.0018968842)]",lsd_01_02_08-12-1952
1952.0,"[('steel', 0.007873902), ('commerce', 0.0039865887), ('iron', 0.0036945157), ('production', 0.0027803231), ('company', 0.0026529017), ('company', 0.002579383), ('amalgamation', 0.0022952226)]",lsd_01_02_09-12-1952
1952.0,"[('duty', 0.005322991), ('property', 0.0041551157), ('estate', 0.0040241545), ('capital', 0.0024495702), ('commerce', 0.0023800868), ('pay', 0.0018867066), ('pakistan', 0.0017619624), ('finance', 0.0015674842)]",lsd_01_02_10-11-1952
1952.0,"[('scheduled', 0.007353877), ('castes', 0.003040488), ('railway', 0.002695975), ('tea', 0.0026827098), ('delimitation', 0.0026503948)]",lsd_01_02_10-12-1952
1952.0,"[('population', 0.0068899337), ('half', 0.004635987), ('limit', 0.0038514915), ('railway', 0.003485332)]",lsd_01_02_11-11-1952
1952.0,"[('girl', 0.004641737), ('girls', 0.0029872127), ('man', 0.002225127), ('offence', 0.0020512918), ('malaviya', 0.0020334746)]",lsd_01_02_11-12-1952
1952.0,"[('court', 0.00398323), ('patents', 0.0030607425), ('coorg', 0.0029583226), ('patent', 0.0018934583)]",lsd_01_02_12-11-1952
1952.0,"[('supplementary', 0.0048618303), ('cut', 0.003649134), ('police', 0.0032003578), ('pakistan', 0.0026755377)]",lsd_01_02_12-12-1952
1952.0,"[('tariff', 0.00678934), ('protection', 0.0055483943), ('production', 0.0041792337), ('commerce', 0.003263986), ('pakistan', 0.0028752233), ('foreign', 0.0023212584), ('aluminium', 0.0020285563), ('coal', 0.0019793722)]",lsd_01_02_13-11-1952
1952.0,"[('scheduled', 0.020272441), ('castes', 0.010772248), ('tribes', 0.005618789), ('classes', 0.0035562892), ('backward', 0.003204435), ('community', 0.0024138265)]",lsd_01_02_13-12-1952
1952.0,"[('protection', 0.006474934), ('tariff', 0.0033250907), ('foreign', 0.002861692), ('labour', 0.002099941), ('indigenous', 0.0017666853)]",lsd_01_02_14-11-1952
1952.0,"[('pakistan', 0.016381077), ('bengal', 0.007824879), ('east', 0.0063732215), ('west', 0.0037540647), ('hindus', 0.003284617), ('problem', 0.002713779)]",lsd_01_02_15-11-1952
1952.0,"[('gee', 0.0017948862), ('aea', 0.0016130711), ('planning', 0.0016001386), ('idia', 0.0015456574)]",lsd_01_02_15-12-1952
1952.0,"[('planning', 0.0058320235), ('resources', 0.0019944536), ('finance', 0.0016757445), ('tribes', 0.0016394644), ('land', 0.0015758302)]",lsd_01_02_16-12-1952
1952.0,"[('price', 0.006213532), ('production', 0.0041093268), ('foodgrains', 0.002302035), ('madras', 0.0022567103), ('procurement', 0.0022138935), ('surplus', 0.0020363638), ('majithia', 0.0020173173)]",lsd_01_02_17-11-1952
1952.0,"[('planning', 0.004643636), ('production', 0.0030745147), ('pakistan', 0.0023429384), ('irrigation', 0.0022670084), ('land', 0.0022526865), ('commerce', 0.002201969), ('development', 0.0019684)]",lsd_01_02_17-12-1952
1952.0,"[('price', 0.0036509123), ('production', 0.0026110217), ('madras', 0.0022789284), ('bengal', 0.0022104976), ('procurement', 0.0020763192)]",lsd_01_02_18-11-1952
1952.0,"[('planning', 0.0025297166), ('railway', 0.0023784286), ('railway', 0.002372727), ('transport', 0.0022657663), ('land', 0.0018516013)]",lsd_01_02_18-12-1952
1952.0,"[('sugar', 0.014983782), ('sugarcane', 0.0041464223), ('production', 0.0039035229), ('cane', 0.0036865396), ('price', 0.0034920007), ('maund', 0.0027105534), ('factory', 0.0022471778), ('railway', 0.0022234898), ('kidwai', 0.002134338)]",lsd_01_02_19-11-1952
1952.0,"[('scheduled', 0.00489915), ('famine', 0.0030642343), ('castes', 0.003020829), ('jute', 0.0028783407), ('population', 0.0027593556)]",lsd_01_02_19-12-1952
1952.0,"[('delivery', 0.004857757), ('sugar', 0.004672308), ('specific', 0.0036459686), ('bombay', 0.0036338568), ('associations', 0.0027852373), ('nontransferable', 0.002279608)]",lsd_01_02_20-11-1952
1952.0,"[('tea', 0.007939655), ('pakistan', 0.0048718513), ('abducted', 0.0030046327), ('women', 0.002875141), ('recovery', 0.0020753455)]",lsd_01_02_20-12-1952
1952.0,"[('delivery', 0.007604379), ('specific', 0.004629373), ('association', 0.004199348), ('nontransferable', 0.0041268948), ('bombay', 0.003884665)]",lsd_01_02_21-11-1952
1952.0,"[('delivery', 0.0054877866), ('association', 0.0041015483), ('specific', 0.0037599914), ('bombay', 0.0027235972), ('railway', 0.0026621597)]",lsd_01_02_24-11-1952
1952.0,"[('bank', 0.0042551155), ('finance', 0.0033674361), ('loans', 0.002891196), ('alcohol', 0.002521168), ('reserve', 0.0022184267)]",lsd_01_02_25-11-1952
1952.0,"[('commerce', 0.003367509), ('adulteration', 0.0033525806), ('production', 0.0021019278), ('tea', 0.0018870594), ('assam', 0.0015455564)]",lsd_01_02_26-11-1952
1952.0,"[('bengal', 0.0037140972), ('west', 0.0023671787), ('east', 0.0022536851), ('deshmukh', 0.0020919957), ('production', 0.0019804689), ('land', 0.0019151221), ('property', 0.0017104532), ('pakistan', 0.0015954111), ('alagesan', 0.0015164776)]",lsd_01_02_27-11-1952
1952.0,"[('corruption', 0.0036685604), ('resolution', 0.0035344134), ('service', 0.0034929044), ('property', 0.0025035706), ('research', 0.0024857314), ('man', 0.0022853627), ('servants', 0.0022651667)]",lsd_01_02_28-11-1952
1953.0,"[('housing', 0.0059339856), ('houses', 0.0034424646), ('jute', 0.0031059675), ('price', 0.0023244298), ('works', 0.0023187327)]",lsd_01_03_01-04-1953
1953.0,"[('railway', 0.0031618902), ('bahadur', 0.0028418247), ('raj', 0.0021374563), ('railway', 0.0019904391), ('service', 0.0018708496), ('council', 0.0018209917)]",lsd_01_03_01-05-1953
1953.0,"[('railway', 0.011105216), ('railway', 0.0028371715), ('finance', 0.0026927933), ('research', 0.0022965013)]",lsd_01_03_02-03-1953
1953.0,"[('commerce', 0.0040428704), ('foreign', 0.0037738546), ('production', 0.00363813), ('trade', 0.0033851853), ('jute', 0.0031481388)]",lsd_01_03_02-04-1953
1953.0,"[('punjab', 0.0071309004), ('defray', 0.004915182), ('payment', 0.0048127812), ('east', 0.004709497)]",lsd_01_03_02-05-1953
1953.0,[],lsd_01_03_03-03-1953
1953.0,"[('finance', 0.0038542033), ('protection', 0.003033559), ('tariff', 0.0025542597), ('parliament', 0.0023745636), ('railway', 0.0021665439), ('production', 0.0019468054)]",lsd_01_03_04-03-1953
1953.0,"[('handloom', 0.0052106436), ('production', 0.003913897), ('problem', 0.0024920038), ('trade', 0.00221621), ('khadi', 0.002178743), ('capital', 0.0021104063), ('jute', 0.0020057105)]",lsd_01_03_04-04-1953
1953.0,"[('development', 0.0038054516), ('private', 0.0027208307), ('sugar', 0.0027096695), ('interests', 0.0023026974)]",lsd_01_03_04-05-1953
1953.0,"[('finance', 0.004138716), ('expenditure', 0.002195217), ('deficit', 0.0018501689)]",lsd_01_03_05-03-1953
1953.0,"[('tea', 0.007414917), ('management', 0.003036251), ('development', 0.0030287919), ('commerce', 0.0030184595)]",lsd_01_03_05-05-1953
1953.0,"[('peace', 0.0128254), ('stalin', 0.012540437), ('world', 0.009634136), ('history', 0.0074855494), ('perhaps', 0.006321885), ('figure', 0.0062411935)]",lsd_01_03_06-03-1953
1953.0,"[('finance', 0.005462154), ('foreign', 0.002118749)]",lsd_01_03_06-04-1953
1953.0,"[('air', 0.00666885), ('corporations', 0.005624308), ('labour', 0.003310237), ('railway', 0.0030546726), ('company', 0.0026269418), ('shareholders', 0.002373165), ('transport', 0.0023465857), ('railway', 0.002125991)]",lsd_01_03_06-05-1953
1953.0,"[('finance', 0.003891184), ('complete', 0.0036947674)]",lsd_01_03_07-04-1953
1953.0,"[('corporations', 0.0075738407), ('air', 0.0075034127), ('trade', 0.0032450017), ('services', 0.003101698), ('compensation', 0.0030986376), ('company', 0.0026130665), ('nationalisation', 0.0025431495), ('international', 0.002396198), ('china', 0.0023936054)]",lsd_01_03_07-05-1953
1953.0,"[('handloom', 0.0058738147), ('production', 0.0047430433), ('appropriation', 0.003997617), ('factory', 0.0026060229), ('khadi', 0.0025259384), ('weavers', 0.002444354), ('commonwealth', 0.002328985)]",lsd_01_03_08-04-1953
1953.0,"[('corporations', 0.0054735076), ('tea', 0.00490948), ('air', 0.0047961115), ('labour', 0.0039566876), ('company', 0.002697948), ('company', 0.002002464)]",lsd_01_03_08-05-1953
1953.0,"[('finance', 0.0025409868), ('deshmukh', 0.0025023469), ('financing', 0.0019812316), ('agriculture', 0.0018511387), ('railway', 0.0018374048)]",lsd_01_03_09-03-1953
1953.0,"[('handloom', 0.0072647445), ('khadi', 0.006381375), ('duty', 0.0036363434), ('das', 0.0019934692)]",lsd_01_03_09-04-1953
1953.0,"[('tea', 0.0123994835), ('parliament', 0.003783773), ('provision', 0.002887827)]",lsd_01_03_09-05-1953
1953.0,"[('finance', 0.0045070285), ('deficit', 0.0025877003), ('expenditure', 0.0019026797), ('capital', 0.0017862332), ('taxation', 0.0017833856), ('resources', 0.0016313589)]",lsd_01_03_10-03-1953
1953.0,"[('corruption', 0.0035593214), ('trade', 0.0033824453), ('resolution', 0.003042273), ('railway', 0.002610339), ('investigation', 0.002247319), ('bahadur', 0.002218124), ('raj', 0.0020495364), ('service', 0.0019428504), ('workers', 0.0019030995)]",lsd_01_03_10-04-1953
1953.0,"[('narayan', 0.0024082335), ('prasad', 0.0019668522), ('chandra', 0.0017608795), ('west', 0.001711658), ('jammu', 0.0016279081), ('pandit', 0.0015434594), ('ayyangar', 0.0014450992)]",lsd_01_03_11-02-1953
1953.0,"[('commerce', 0.0028760985), ('expenditure', 0.0017687322), ('finance', 0.001739136), ('production', 0.0015060903)]",lsd_01_03_11-03-1953
1953.0,"[('parliament', 0.004937287), ('disqualification', 0.0043024695), ('election', 0.0028089373), ('legislative', 0.0024685885)]",lsd_01_03_11-05-1953
1953.0,"[('railway', 0.0024620844), ('production', 0.0019757338), ('railway', 0.0019543972), ('united', 0.0017579179)]",lsd_01_03_12-03-1953
1953.0,"[('election', 0.0053457706), ('parliament', 0.0051930402), ('disqualification', 0.0024770903), ('legislative', 0.0023903172)]",lsd_01_03_12-05-1953
1953.0,"[('war', 0.0019390208), ('pakistan', 0.0017282489), ('tea', 0.0017135099), ('commerce', 0.0016531871)]",lsd_01_03_13-02-1953
1953.0,"[('wakfs', 0.0027775278), ('muslim', 0.002561756), ('opinion', 0.0023589206)]",lsd_01_03_13-03-1953
1953.0,"[('property', 0.003656937), ('council', 0.0035750635), ('duty', 0.0033084117), ('parliament', 0.002574801), ('commerce', 0.0024231465), ('karmarkar', 0.002375324)]",lsd_01_03_13-05-1953
1953.0,"[('railway', 0.0021525694), ('production', 0.0019928522), ('economic', 0.001847393)]",lsd_01_03_14-02-1953
1953.0,"[('finance', 0.0067174337), ('steel', 0.0024256934), ('iron', 0.0023198975), ('labour', 0.0020825893), ('tax', 0.0020759488), ('production', 0.0019119027), ('resources', 0.0017771035)]",lsd_01_03_14-04-1953
1953.0,"[('duty', 0.0071421037), ('estate', 0.00490369), ('railway', 0.0032887652), ('railway', 0.002907576), ('property', 0.0025550565), ('transport', 0.0022348918), ('deshmukh', 0.0021391178), ('tax', 0.002048848), ('exemption', 0.001999877)]",lsd_01_03_14-05-1953
1953.0,"[('finance', 0.00597066), ('madras', 0.0033724518), ('salt', 0.0031549463), ('commerce', 0.0025509116), ('duty', 0.0021820965), ('excises', 0.0021778983), ('possible', 0.0020597249)]",lsd_01_03_15-04-1953
1953.0,"[('duty', 0.0035034602), ('finance', 0.0025189815), ('deshmukh', 0.002265399), ('service', 0.0022208523), ('scarcity', 0.0016605833)]",lsd_01_03_15-05-1953
1953.0,"[('defence', 0.0038149324), ('war', 0.0018631178), ('jammu', 0.0018147195), ('finance', 0.0017115381), ('resolution', 0.0015994296)]",lsd_01_03_16-02-1953
1953.0,"[('foreign', 0.004518699), ('world', 0.0034054199), ('nations', 0.0029569794), ('external', 0.0028521894), ('war', 0.0025629601), ('united', 0.0025441481), ('peace', 0.0024712163), ('position', 0.0021346833)]",lsd_01_03_16-03-1953
